0,統計年,區域別,年底人口數,土地面積,人口密度
318,106,臺東縣東河鄉,8517,210.1908,41
319,106,臺東縣長濱鄉,7260,155.1868,47
320,106,臺東縣鹿野鄉,7951,89.698,89
321,106,臺東縣池上鄉,8248,82.6854,100
322,106,臺東縣綠島鄉,3926,15.0919,260
323,106,臺東縣延平鄉,3551,455.8805,8
324,106,臺東縣海端鄉,4222,880.0382,5
325,106,臺東縣達仁鄉,3518,306.4454,11
326,106,臺東縣金峰鄉,3653,380.6635,10
327,106,臺東縣蘭嶼鄉,5075,48.3892,105
328,106,花蓮縣花蓮市,104380,29.4095,3549
329,106,花蓮縣鳳林鎮,10861,120.5181,90
330,106,花蓮縣玉里鎮,24345,252.3719,96
331,106,花蓮縣新城鄉,20185,29.4095,686
332,106,花蓮縣吉安鄉,83747,65.2582,1283
333,106,花蓮縣壽豐鄉,18043,218.4448,83
334,106,花蓮縣光復鄉,12888,157.11,82
335,106,花蓮縣豐濱鄉,4383,162.4332,27
336,106,花蓮縣瑞穗鄉,11653,135.5862,86
337,106,花蓮縣富里鄉,10413,176.3705,59
338,106,花蓮縣秀林鄉,15889,1641.8555,10
339,106,花蓮縣萬榮鄉,6384,618.491,10
340,106,花蓮縣卓溪鄉,6066,1021.313,6
341,106,澎湖縣馬公市,62308,33.9918,1833
342,106,澎湖縣湖西鄉,14508,33.3008,436
343,106,澎湖縣白沙鄉,9817,20.0875,489
344,106,澎湖縣西嶼鄉,8408,18.7148,449
345,106,澎湖縣望安鄉,5176,13.7824,376
346,106,澎湖縣七美鄉,3856,6.9868,552
347,106,基隆市中正區,52163,10.2118,5108
348,106,基隆市七堵區,53972,56.2659,959
349,106,基隆市暖暖區,38708,22.8283,1696
350,106,基隆市仁愛區,44314,4.2335,10467
351,106,基隆市中山區,47908,10.5238,4552
352,106,基隆市安樂區,82358,18.025,4569
353,106,基隆市信義區,52035,10.6706,4876
354,106,新竹市東區,212553,33.5768,6330
355,106,新竹市北區,150636,15.7267,9578
