溪流分級,主管機關,河川代碼,溪流名稱,"重名
數量",溪流wikiID,別名,上級,"所在縣市
（以 ,分隔）","縣市
wikidata ID","所在鄉鎮區
（以 ,分隔）",鄉鎮區wiki ID,水系,"流入水域
（wikiID)",流入,"主流
or
支流",,
,,,三民溪,2,,,,桃園市,,"復興區,大溪區",,,,,支流,,
,,,三份圳,2,,,,屏東縣,,內埔鄉,,,,,主流,,
,,,三份圳,2,,,,屏東縣,,內埔鄉,,,,,支流,,
,,,三份坑,2,,,,宜蘭縣,,頭城鎮,,梗枋溪,,,支流,,
,,,三份坑,2,,,,宜蘭縣,,頭城鎮,,,,,主流,,
,,,三光溪,1,Q10865357,,,桃園市,,復興區,,淡水河(大漢溪),,,支流,,
,,,三光溪,3,,,,宜蘭縣,,大同鄉,,,,,支流,,
,,,三光溪,3,,,,桃園市,,復興區,,,,,主流,,
,,,三合大排,1,,,,雲林縣,,土庫鎮、虎尾鎮,,,,舊虎尾溪,,縣(市)管區域排水,
,,,三合溪,4,,,,高雄市,,六龜區,,,,,主流,,
,,,三合溪,4,,,,高雄市,,"六龜區,茂林區,桃源區",,,,,支流,,
,,,三合溪,4,,,,南投縣,,國姓鄉,,,,,支流,,
,,,三合溪,4,,,,南投縣,,國姓鄉,,,,,主流,,
,,,三吉中排一,1,,,,臺南市,,將軍區,,,,漚汪排水,,直轄市管區域排水,
,,,三百六坑,1,,,,苗栗縣,,造橋鄉,,,,,支流,,
,,,三坎溝,2,,,,臺南市,,大內區,,,,,主流,,
,,,三坎溝,2,,,,臺南市,,大內區,,,,,支流,,
,,,三坑,2,,,,宜蘭縣,,大同鄉,,,,,主流,,
,,,三坑,2,,,,宜蘭縣,,"三星鄉,大同鄉",,,,,支流,,
,,,三坑溪,2,,,,新北市,,平溪區,,,,,支流,,
,,,三坑溪,2,,,,新北市,,平溪區,,,,,主流,,
,,,三坑溪幹線,1,,,,桃園市,,龍潭區,,,,大漢溪,,直轄市管區域排水,
,,,三角泳支線,1,,,,臺中市,,大雅區,,,,大雅排水,,直轄市管區域排水,
,,,三姓公溪,1,,,,新竹市,,香山區,,,,,主流,,
,,,三姓溪,1,,三姓公溪,,新竹市,,香山區,,,,台灣海峽,,縣(市)管區域排水,
,,,三股溪,2,,大塭寮大排,,臺南市,,"七股區,西港區",,,,,主流,,
,,,三股溪,2,,大塭寮大排,,臺南市,,西港區,,,,,主流,,
,,,三舍排水,1,,,,臺南市,,新市區,,,,大社排水,,直轄市管區域排水,
,,,三星排水,1,,,,宜蘭縣,,三星鄉,,,,安農溪,,縣(市)管區域排水,
,,,三界排水幹線,1,,,,新北市,,金山區,,,,西勢溪,,直轄市管區域排水,
,,,三重溪,2,,,,嘉義縣,,"中埔鄉,大埔鄉",,急水溪,,,,,
,,,三重溪,2,,,,臺南市,,白河區,,急水溪,,,,,
,,,三重歷溪,1,,,,新竹縣,,竹東鎮,,,,,支流,,
,,,三家春坑,2,,,,彰化縣,,花壇鄉,,,,,主流,,
,,,三家春坑,2,,,,彰化縣,,花壇鄉,,,,,支流,,
,,,三峽河,1,Q7419001,三峽溪,,新北市,,"土城區,三峽區,樹林區",,淡水河(大漢溪),,,主流,,
,,,三峽溪,1,,,,新北市,,"土城區,三峽區,樹林區",,,,,支流,,
,,,三崁排水,1,,,,臺中市,,外埔區,,,,大甲溪,,直轄市管區域排水,
,,,三張廍排水北支線,1,,,,屏東縣,,里港鄉,,,,旗山溪,,縣(市)管區域排水,
,,,三張廍排水幹線,1,,,,屏東縣,,里港鄉,,,,旗山溪,,縣(市)管區域排水,
,,,三條圳幹線第一支線,1,,,,彰化縣,,溪州鄉,,,,,支流,,
,,,三條崙漁港,1,,,,雲林縣,,四湖鄉,,,,,主流,,
中央管河川,,237010,三笠溪,1,#N/A,,,花蓮縣,,玉里鎮三民,,秀姑巒溪,,,,,
,,,三富溪,1,Q10865829,,,花蓮縣,,豐濱鄉,,三富溪,,,支流,,
,,,三棧北溪,2,,,,花蓮縣,,秀林鄉,,,,,支流,,
,,,三棧北溪,2,,,,花蓮縣,,秀林鄉,,,,,主流,,
,,,三棧南溪,2,,,,花蓮縣,,"秀林鄉,新城鄉",,,,,支流,,
,,,三棧南溪,2,,,,花蓮縣,,"新城鄉,秀林鄉",,,,,主流,,
縣市管河川,,245000,三棧溪,2,Q10866204,,,花蓮縣,,新城鄉,,三棧溪,,,,,
,,,三棧溪,2,,,,花蓮縣,,秀林鄉,,,,,支流,,
,,,三間二號圳,1,,,,臺東縣,,長濱鄉,,,,,支流,,
,,,三間屋溪,1,,,,臺東縣,,長濱鄉,,,,,支流,,
,,,三塊石埤,1,,,,桃園市,,大園區,,,,,主流,,
,,,三塊厝排水,3,,,,臺中市,,大安區,,,,台灣海峽,,直轄市管區域排水,
,,,三塊厝排水,3,,,,南投縣,,南投市,,,,,支流,,
,,,三塊厝排水,3,,,,南投縣,,南投市,,,,,主流,,
,,,三塊厝排水幹線,1,,,,南投縣,,南投,,,,貓羅溪,,縣(市)管區域排水,
,,,三塊厝溝,2,,,,高雄市,,"楠梓區,橋頭區,燕巢區",,,,,主流,,
,,,三塊厝溝,2,,,,高雄市,,"橋頭區,燕巢區",,,,,支流,,
,,,三溝排水支線,1,,,,屏東縣,,恆春鎮,,,,東門溪排水幹線,,縣(市)管區域排水,
,,,三爺溪排水,4,#N/A,"三爺溪,三爺宮溪",,臺南市,,"仁德區,南區,東區,永康區",,二仁溪,,,主流,,
,,,三爺溪排水,4,,,,"臺南縣,臺南市",,,,,,二仁溪,,中央管區域排水,
,,,三爺溪排水,4,,,,高雄市,,湖內區,,,,,主流,,
,,,三爺溪排水,4,,,,臺南市,,"仁德區,南區",,,,,支流,,
,,,三號排水路,1,,,,臺南市,,南區,,,,日新溪排水,,直轄市管區域排水,
,,,三號溪,1,,,,南投縣,,信義鄉,,,,,支流,,
,,,三農場排水,1,,,,花蓮縣,,壽豐鄉,,,,樹湖溪,,縣(市)管區域排水,
,,,三寮灣部落排水,1,,,,臺南市,,北門區,,,,北門潟湖,,直轄市管區域排水,
,,,三寮灣堤外線排水,1,,,,臺南市,,北門區,,,,北門潟湖,,直轄市管區域排水,
,,,三寮灣溪,1,,,,臺南市,,北門區,,,,,主流,,
,,,三層坪坑,2,,,,宜蘭縣,,"冬山鄉,南澳鄉",,冬山河,,,主流,,
,,,三層坪坑,2,,,,宜蘭縣,,南澳鄉,,,,,支流,,
,,,三興坑排水,2,,,,南投縣,,南投市,,,,三塊厝排水,支流,縣(市)管區域排水,
,,,三興坑排水,2,,,,南投縣,,南投市,,,,三塊厝排水,主流,縣(市)管區域排水,
,,,三興坑排水支線,1,,,,南投縣,,南投,,,,三塊厝排水,,縣(市)管區域排水,
,,,三疊溪,3,#N/A,,,雲林縣,,大埤鄉,,北港溪,,,主流,,
